grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
5.87,8,-8,-4.799527583,-3.441039553,-3.634941251,-4.188704506
5.88,8,-8,-4.793835398,-3.437154907,-3.629439493,-4.182181255
5.89,8,-8,-4.78815294,-3.433281758,-3.623956344,-4.175683429
5.9,8,-8,-4.782495662,-3.429420055,-3.618491722,-4.169210885
5.91,8,-8,-4.776869391,-3.425569745,-3.613045548,-4.162763483
5.92,8,-8,-4.771223348,-3.421730777,-3.607617742,-4.156341084
5.93,8,-8,-4.765616552,-3.417903099,-3.602208223,-4.149943548
5.94,8,-8,-4.760027444,-3.414086662,-3.596816914,-4.143570737
5.95,8,-8,-4.754455508,-3.410284138,-3.591443736,-4.137222515
5.96,8,-8,-4.748899986,-3.406489859,-3.586088611,-4.130898747
5.97,8,-8,-4.743359823,-3.40270668,-3.58075146,-4.124599297
5.98,8,-8,-4.737853395,-3.398934551,-3.575432208,-4.11832403
5.99,8,-8,-4.73235391,-3.395173423,-3.570130776,-4.112072815
6,8,-8,-4.726871953,-3.391423245,-3.564847089,-4.10584552
6.01,8,-8,-4.721407446,-3.38768397,-3.559581071,-4.099642012
6.02,8,-8,-4.715960324,-3.383955548,-3.694599892,-4.093462206
6.03,8,-8,-4.710530536,-3.380237932,-3.689189139,-4.087305883
6.04,8,-8,-4.705118057,-3.376531073,-3.68379585,-4.081172961
6.05,8,-8,-4.69972289,-3.372834925,-3.678419954,-4.075063311
6.06,8,-8,-4.694345079,-3.369149439,-3.67306138,-4.068976808
6.07,8,-8,-4.688984718,-3.36547457,-3.667720058,-4.062913325
6.08,8,-8,-4.683641969,-3.361810271,-3.662395918,-4.056872737
6.09,8,-8,-4.678317074,-3.358156496,-3.657088889,-4.050854922
6.1,8,-8,-4.672994176,-3.3545132,-3.651798902,-4.044859754
6.11,8,-8,-4.667698642,-3.350880335,-3.646525888,-4.038887113
6.12,8,-8,-4.662419529,-3.347257859,-3.641269777,-4.032936021
6.13,8,-8,-4.657156755,-3.343645725,-3.636030503,-4.027006979
6.14,8,-8,-4.651910243,-3.340043891,-3.630807996,-4.021100111
6.15,8,-8,-4.646679919,-3.33645231,-3.625602188,-4.015215299
6.16,8,-8,-4.641465715,-3.332870939,-3.620413012,-4.009352425
6.17,8,-8,-4.636267573,-3.329299735,-3.615240402,-4.003511371
6.18,8,-8,-4.631085447,-3.325738655,-3.610084289,-3.997692022
6.19,8,-8,-4.625919308,-3.322187655,-3.604944608,-3.991894262
6.2,8,-8,-4.620769147,-3.318646694,-3.599821293,-3.986117977
6.21,8,-8,-4.615634987,-3.315115728,-3.594714278,-3.980363053
6.22,8,-8,-4.610516889,-3.311594716,-3.589623496,-3.974629376
6.23,8,-8,-4.605414965,-3.308083616,-3.584548884,-3.968916835
6.24,8,-8,-4.600329397,-3.304582386,-3.579490376,-3.963225317
6.25,8,-8,-4.595260449,-3.301090985,-3.574447908,-3.957554712
6.26,8,-8,-4.590187709,-3.297609372,-3.569421415,-3.95190491
6.27,8,-8,-4.585144729,-3.294137507,-3.564410833,-3.946275801
6.28,8,-8,-4.580116844,-3.290675348,-3.5594161,-3.940667276
6.29,8,-8,-4.575103971,-3.287222857,-3.554437151,-3.935079229
6.3,8,-8,-4.570106028,-3.283779992,-3.549473924,-3.929511551
6.31,8,-8,-4.565122926,-3.280346714,-3.544526356,-3.923964136
